alpha,mean_auroc,mean_auprc,mean_balanced_accuracy,mean_macro_f1,mean_mcc,delta_auroc_vs_alpha0,delta_auprc_vs_alpha0,delta_balanced_accuracy_vs_alpha0,delta_macro_f1_vs_alpha0,delta_mcc_vs_alpha0
0.0,0.9634150277189163,0.8619970117851187,0.9170848505595689,0.8717826677938852,0.7647191024889753,0.0,0.0,0.0,0.0,0.0
0.25,0.9632981109042241,0.8607611114369496,0.9171046628316836,0.8709528672861925,0.763823085555491,-0.00011691681469216952,-0.0012359003481691166,1.981227211467207e-05,-0.0008298005076927684,-0.0008960169334842893
0.5,0.9631525555589531,0.8592644309416633,0.9170353144167507,0.8704506226566271,0.7632197524703729,-0.00026247215996322293,-0.002732580843455401,-4.953614281821839e-05,-0.0013320451372581532,-0.0014993500186024633
0.75,0.9629860052184261,0.8575232184924256,0.9170549922117752,0.870598127559263,0.7634030297628156,-0.00042902250049015045,-0.00447379329269304,-2.9858347793676465e-05,-0.0011845402346222222,-0.001316072726159745
1.0,0.9628041061431918,0.8555794019409215,0.9168652974885448,0.8713250680659569,0.7640571406346569,-0.0006109215757245101,-0.006417609844197147,-0.00021955307102405897,-0.00045759972792835946,-0.000661961854318438
